"feature","p","r","fdr","gname","pname"
"E9PDQ1",0.702374170454291,0.0452394853695569,0.911627716851445,"CSN1S1","Casein Alpha S1"
"O14745",0.465475416870323,0.0312410601157245,0.831179356642054,"SLC9A3R1","Slc9a3 Regulator 1"
"P30085",0.578779554018659,0.00150192766488515,0.895087449556247,"CMPK1","Cytidine/Uridine Monophosphate Kinase 1"
"P32119",0.656391850314714,0.0126271685874567,0.911627716851445,"PRDX2","Peroxiredoxin 2"
"O75083",0.46891255836096,-0.00873172954772854,0.831179356642054,"WDR1","Wd Repeat Domain 1"
"P61313",0.341099451955993,-0.0190569253461312,0.732476704448106,"RPL15","Ribosomal Protein L15"
"Q9UL25",0.851746537400482,0.0209033876703538,0.945886944165798,"RAB21","Rab21, Member Ras Oncogene Family"
"P14618",0.878232744594256,-0.0021900297009595,0.952735779482715,"PKM","Pyruvate Kinase, Muscle"
"A0A087WWU8",0.0118633950718681,0.0585270588926952,0.147245668244951,"TPM3","Tropomyosin 3"
"Q04917",0.804076503902738,0.0205489898406025,0.933412733132227,"YWHAH","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Eta"
"P20339",0.768436867832979,0.0380002703468548,0.928606825330627,"RAB5A","Rab5a, Member Ras Oncogene Family"
"P62701",0.131613359460491,-0.02570077554506,0.482963806020237,"RPS4X","Ribosomal Protein S4, X-Linked"
"O15145",0.476761369667305,-0.00684328735243129,0.837008901069435,"ARPC3","Actin Related Protein 2/3 Complex Subunit 3"
"A0A075B7B8",0.790236067865365,0.0282873096925064,0.931507320221185,"IGHV3OR16-12","Immunoglobulin Heavy Variable 3/Or16-12 (Non-Functional)(Ighv3or16-12)"
"Q9NV23",0.0422755062622139,0.0440553175505514,0.284789589784241,"OLAH","Oleoyl-Acp Hydrolase"
"X6R3G6",0.115313606957713,0.0501237904622069,0.477081785648576,"MFGE8","Milk Fat Globule-Egf Factor 8 Protein"
"Q15843",0.0302559169220145,0.0309212164283249,0.247423766974265,"NEDD8","Neural Precursor Cell Expressed, Developmentally Down-Regulated 8"
"P30044",0.00519057130146711,0.0289032359196239,0.102387067362152,"PRDX5","Peroxiredoxin 5"
"P62269",0.342664790638301,-0.0365104883569159,0.732476704448106,"RPS18","Ribosomal Protein S18"
"Q16555",0.470739019520026,0.0301773350790044,0.831179356642054,"DPYSL2","Dihydropyrimidinase Like 2"
"Q06323",0.876905771642271,-0.0205410648110906,0.952735779482715,"PSME1","Proteasome Activator Subunit 1"
"Q5JR95",0.696327669713013,0.00656387896206458,0.911627716851445,"RPS8","Ribosomal Protein S8"
"Q15181",0.275829093136945,0.00682166043592993,0.665142156021662,"PPA1","Pyrophosphatase (Inorganic) 1"
"O75891",0.73767854825165,0.00281254068134326,0.911902723379997,"ALDH1L1","Aldehyde Dehydrogenase 1 Family Member L1"
"Q06210",0.245403655038003,-0.0324157856160227,0.631465502597789,"GFPT1","Glutamine--Fructose-6-Phosphate Transaminase 1"
"P26373",0.869615373582454,0.0183070757671869,0.948690907942758,"RPL13","Ribosomal Protein L13"
"P42330",0.00974157534998186,0.033177730028141,0.129927331392118,"AKR1C3","Aldo-Keto Reductase Family 1 Member C3"
"X1WI28",0.849148523225287,0.00749845432682661,0.945886944165798,"RPL10","Ribosomal Protein L10"
"C9J9K3",0.764510168267304,0.00352821680517763,0.927078422439087,"RPSA","Ribosomal Protein Sa"
"Q99536",0.717118270862011,0.048151140170579,0.911902723379997,"VAT1","Vesicle Amine Transport 1"
"Q15365",0.645210971824957,-0.00677646284240296,0.911627716851445,"PCBP1","Poly(Rc) Binding Protein 1"
"O75954",0.404438062389631,0.00845031163819531,0.772275395151241,"TSPAN9","Tetraspanin 9"
"Q86SQ4",0.677627027833969,0.043848403094257,0.911627716851445,"ADGRG6","Adhesion G Protein-Coupled Receptor G6"
"Q9Y5P6",0.129655434663479,-0.0612521412128308,0.482963806020237,"GMPPB","Gdp-Mannose Pyrophosphorylase B"
"P40429",0.174173867131115,0.00671455906523266,0.540451264186253,"RPL13A","Ribosomal Protein L13a"
"O75355",0.827993128939401,0.0287132540011381,0.943902336281051,"ENTPD3","Ectonucleoside Triphosphate Diphosphohydrolase 3"
"P23396",0.895135098757798,-0.00255866619908264,0.956321548546305,"RPS3","Ribosomal Protein S3"
