"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"36","2","GO Process","","neuromuscular junction development","0.0218","TNC|APP","361","375|374","3.8E-4","","GO.0007528","0.1661543506395395","0"
"91","2","GO Component","","basement membrane","0.0228","TNC|AMTN","361","375|397","0.0023","","GO.0005604","0.16420651529995461","0"
"32","2","GO Function","","proteoglycan binding","0.0351","TNC|APP","361","375|374","3.0E-4","","GO.0043394","0.1454692883534176","0"
"1474","5","GO Component","","Golgi apparatus","0.0367","TMEM132A|APP|CALR|GOLM1|FAM20A","361","400|374|373|372|401","0.0039","","GO.0005794","0.14353339357479106","0"
"446","3","GO Component","","nuclear envelope","0.0397","APP|SHISA5|CALR","361","374|399|373","0.0044","","GO.0005635","0.14012094932368852","0"
"476","3","UniProt Keywords","","Cell adhesion","0.0399","TNC|APP|AMTN","361","375|374|397","0.0053","","KW-0130","0.13990271043132518","0"
"1616","5","GO Component","","organelle subcompartment","0.0459","TMEM132A|EVA1A|APP|SHISA5|CALR","361","400|398|374|399|373","0.0057","","GO.0031984","0.13381873144627388","0"
"3284","7","UniProt Keywords","","Disulfide bond","0.046","BPIFB2|TNC|APP|CALR|MATN3|PRKCSH|FAM20A","361","406|375|374|373|371|402|401","0.0069","","KW-1015","0.1337242168318426","0"
"530","3","UniProt Keywords","","Apoptosis","0.046","EVA1A|APP|SHISA5","361","398|374|399","0.0071","","KW-0053","0.1337242168318426","0"
"1025","4","GO Component","","endoplasmic reticulum subcompartment","0.0489","TMEM132A|EVA1A|SHISA5|CALR","361","400|398|399|373","0.0065","","GO.0098827","0.13106911408763797","0"
"1022","4","GO Component","","endoplasmic reticulum membrane","0.0489","TMEM132A|EVA1A|SHISA5|CALR","361","400|398|399|373","0.0064","","GO.0005789","0.13106911408763797","0"
